full_name,first_name,last_name,middle_name,nickname,suffix,other_names_end,other_names_middle,other_names_last,birthday,gender,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,id_house_history,id_thomas,id_cspan,id_votesmart,id_lis,id_ballotpedia,id_opensecrets,id_fec_0,id_fec_1,id_fec_2
"Sherrod Brown",Sherrod,Brown,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1952-11-09,Male,B000944,400050,29389,"Sherrod Brown",Q381880,kg:/m/034s80,9996,136,5051,27018,S307,"Sherrod Brown",N00003535,H2OH13033,S6OH00163,"Not Given"
"Maria Cantwell",Maria,Cantwell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1958-10-13,Female,C000127,300018,39310,"Maria Cantwell",Q22250,kg:/m/01x68t,10608,172,26137,27122,S275,"Maria Cantwell",N00007836,S8WA00194,H2WA01054,"Not Given"
"Benjamin L. Cardin",Benjamin,Cardin,L.,"Not Given","Not Given","Not Given","Not Given","Not Given",1943-10-05,Male,C000141,400064,15408,"Ben Cardin",Q723295,kg:/m/025k3k,10629,174,4004,26888,S308,"Ben Cardin",N00001955,H6MD03177,S6MD03177,"Not Given"
"Thomas R. Carper",Thomas,Carper,Richard,"Not Given","Not Given","Not Given","Not Given","Not Given",1947-01-23,Male,C000174,300019,15015,"Tom Carper",Q457432,kg:/m/01xw7t,10671,179,663,22421,S277,"Tom Carper",N00012508,S8DE00079,"Not Given","Not Given"
"Robert P. Casey, Jr.",Robert,Casey,P.,Bob,Jr.,"Not Given","Not Given","Not Given",1960-04-13,Male,C001070,412246,40703,"Bob Casey Jr.",Q887841,kg:/m/047ymw,NULL,1828,47036,2541,S309,"Bob Casey, Jr.",N00027503,S6PA00217,"Not Given","Not Given"
"Dianne Feinstein",Dianne,Feinstein,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1933-06-22,Female,F000062,300043,49300,"Dianne Feinstein",Q230733,kg:/m/01gqws,13044,1332,13061,53273,S221,"Dianne Feinstein",N00007364,S0CA00199,"Not Given","Not Given"
"Russ Fulcher",Russ,Fulcher,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1973-07-19,Male,F000469,412773,21920,"Russ Fulcher",Q7381134,kg:/m/05h4vgh,NULL,NULL,NULL,33091,"Not Given","Not Given",N00041335,H8ID01124,"Not Given","Not Given"
"Amy Klobuchar",Amy,Klobuchar,Jean,"Not Given","Not Given","Not Given","Not Given","Not Given",1960-05-25,Female,K000367,412242,40700,"Amy Klobuchar",Q22237,kg:/m/05fbpt,16558,1826,83701,65092,S311,"Amy Klobuchar",N00027500,S6MN00267,"Not Given","Not Given"
"Robert Menendez",Robert,Menendez,"Not Given",Bob,"Not Given","Not Given","Not Given",Menendez,1954-01-01,Male,M000639,400272,29373,"Bob Menendez",Q888132,kg:/m/033d3p,18124,791,29608,26961,S306,"Bob Menendez",N00000699,H2NJ13075,S6NJ00289,"Not Given"
"Bernard Sanders",Bernard,Sanders,"Not Given",Bernie,"Not Given","Not Given","Not Given","Not Given",1941-09-08,Male,S000033,400357,29147,"Bernie Sanders",Q359442,kg:/m/01_gbv,21173,1010,994,27110,S313,"Bernie Sanders",N00000528,H8VT01016,S4VT00033,"Not Given"
"Debbie Stabenow",Debbie,Stabenow,Ann,"Not Given","Not Given","Not Given","Not Given","Not Given",1950-04-29,Female,S000770,300093,29732,"Debbie Stabenow",Q241092,kg:/m/01xh64,22090,1531,45451,515,S284,"Debbie Stabenow",N00004118,S8MI00281,H6MI08163,"Not Given"
"Jon Tester",Jon,Tester,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1956-08-21,Male,T000464,412244,40702,"Jon Tester",Q529351,kg:/m/066cdp,NULL,1829,1020176,20928,S314,"Jon Tester",N00027605,S6MT00162,"Not Given","Not Given"
"Sheldon Whitehouse",Sheldon,Whitehouse,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1955-10-20,Male,W000802,412247,40704,"Sheldon Whitehouse",Q652066,kg:/m/07qw94,NULL,1823,92235,2572,S316,"Sheldon Whitehouse",N00027533,S6RI00221,"Not Given","Not Given"
"Nanette Diaz Barrag��",Nanette,Barrag��,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1976-09-15,Female,B001300,412687,21703,"Nanette Barrag��",Q21662745,kg:/g/11bx55ybbz,NULL,NULL,104730,166270,"Not Given","Not Given",N00037019,H6CA44103,"Not Given","Not Given"
"John Barrasso",John,Barrasso,A.,"Not Given","Not Given","Not Given","Not Given","Not Given",1952-07-21,Male,B001261,412251,40707,"John Barrasso",Q720521,kg:/m/02rsm32,NULL,1881,1024777,52662,S317,"John Barrasso",N00006236,S6WY00068,"Not Given","Not Given"
"Roger F. Wicker",Roger,Wicker,F.,"Not Given","Not Given","Not Given","Not Given","Not Given",1951-07-05,Male,W000437,400432,29534,"Roger Wicker",Q390491,kg:/m/025xxb,23734,1226,18203,21926,S318,"Roger Wicker",N00003280,H4MS01078,S8MS00196,"Not Given"
"Lamar Alexander",Lamar,Alexander,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1940-07-03,Male,A000360,300002,40304,"Lamar Alexander",Q419976,kg:/m/01rbs3,NULL,1695,5,15691,S289,"Lamar Alexander",N00009888,S2TN00058,P60003225,"Not Given"
"Susan M. Collins",Susan,Collins,M.,"Not Given","Not Given","Not Given","Not Given","Not Given",1952-12-07,Female,C001035,300025,49703,"Susan Collins",Q22279,kg:/m/020y8m,11742,1541,45738,379,S252,"Susan Collins",N00000491,S6ME00159,"Not Given","Not Given"
"John Cornyn",John,Cornyn,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1952-02-02,Male,C001056,300027,40305,"John Cornyn",Q719568,kg:/m/01xcqs,NULL,1692,93131,15375,S287,"John Cornyn",N00024852,S2TX00106,"Not Given","Not Given"
"Richard J. Durbin",Richard,Durbin,J.,"Not Given","Not Given","Not Given","Not Given","Not Given",1944-11-21,Male,D000563,300038,15021,"Dick Durbin",Q434804,kg:/m/01xcd1,12527,326,6741,26847,S253,"Dick Durbin",N00004981,S6IL00151,H2IL20026,"Not Given"
"Brian Schatz",Brian,Schatz,Emanuel,"Not Given","Not Given","Not Given","Not Given","Not Given",1972-10-20,Male,S001194,412507,41112,"Brian Schatz",Q1827902,kg:/m/0dd109,NULL,2173,87784,17852,S353,"Brian E. Schatz",N00028138,S4HI00136,H6HI02244,"Not Given"
"Michael B. Enzi",Michael,Enzi,B.,"Not Given","Not Given","Not Given","Not Given","Not Given",1944-02-01,Male,E000285,300041,49706,"Mike Enzi",Q432431,kg:/m/021ph1,NULL,1542,45824,558,S254,"Mike Enzi",N00006249,S6WY00126,"Not Given","Not Given"
"Lindsey Graham",Lindsey,Graham,O.,"Not Given","Not Given","Not Given","Not Given","Not Given",1955-07-09,Male,G000359,300047,29566,"Lindsey Graham",Q22212,kg:/m/01_pdg,14015,452,36782,21992,S293,"Lindsey Graham",N00009975,S0SC00149,H4SC03087,"Not Given"
"James M. Inhofe",James,Inhofe,M.,Jim,"Not Given","Not Given","Not Given","Not Given",1934-11-17,Male,I000024,300055,15424,"Jim Inhofe",Q723134,kg:/m/021kpl,15645,583,5619,27027,S236,"Jim Inhofe",N00005582,S4OK00083,H6OK01102,"Not Given"
"Mitch McConnell",Mitch,McConnell,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1942-02-20,Male,M000355,300072,14921,"Mitch McConnell",Q355522,kg:/m/01z6ls,NULL,1395,2351,53298,S174,"Mitch McConnell",N00003389,S2KY00012,"Not Given","Not Given"
"Jeff Merkley",Jeff,Merkley,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1956-10-24,Male,M001176,412325,40908,"Jeff Merkley",Q1368405,kg:/m/026k60f,NULL,1900,1029842,23644,S322,"Jeff Merkley",N00029303,S8OR00207,"Not Given","Not Given"
"Jack Reed",John,Reed,F.,Jack,"Not Given","Not Given","Not Given","Not Given",1949-11-12,Male,R000122,300081,29142,"Jack Reed (Rhode Island politician)",Q528979,kg:/m/0202mc,20232,949,24239,27060,S259,"Jack Reed",N00000362,S6RI00163,H0RI02071,"Not Given"
"James E. Risch",James,Risch,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1943-05-03,Male,R000584,412322,40902,"Jim Risch",Q721871,kg:/m/06y9p0,NULL,1896,1020034,2919,S323,"Jim Risch",N00029441,S8ID00092,"Not Given","Not Given"
"J. Luis Correa",J.,Correa,Luis,"Not Given","Not Given","Not Given","Not Given","Not Given",1958-01-24,Male,C001110,412688,21711,"Lou Correa",Q6685454,kg:/m/02q_np2,NULL,NULL,46310,9732,"Not Given","Not Given",N00037260,H6CA46116,"Not Given","Not Given"
"Pat Roberts",Pat,Roberts,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1936-04-20,Male,R000307,300083,14852,"Pat Roberts",Q538375,kg:/m/01_pdv,20465,968,16354,26866,S260,"Pat Roberts",N00005285,S6KS00080,H0KS01016,"Not Given"
"Jeanne Shaheen",Jeanne,Shaheen,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given",1947-01-28,Female,S001181,412323,40906,"Jeanne Shaheen",Q270316,kg:/m/01rrm2,22618,1901,22850,1663,S324,"Jeanne Shaheen",N00024790,S0NH00219,"Not Given","Not Given"
"Tom Udall",Tom,Udall,S.,"Not Given","Not Given","Not Given","Not Given","Not Given",1948-05-18,Male,U000039,400413,29924,"Tom Udall",Q957690,kg:/m/033t35,20879,1567,10075,22658,S326,"Tom Udall",N00006561,H8NM03097,S8NM00184,"Not Given"
