id_bioguide,term_number,term_id,term_type,term_start,term_end,state,district,class,party,how,url,address,phone,fax,contact_form,office,state_rank,rss_url,caucus
A000001,0,A000001-0,rep,1951-01-03,1953-01-03,ND,0,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,0,A000002-0,rep,1947-01-03,1949-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,1,A000002-1,rep,1949-01-03,1951-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,2,A000002-2,rep,1951-01-03,1953-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,3,A000002-3,rep,1953-01-03,1955-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,4,A000002-4,rep,1955-01-05,1957-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,5,A000002-5,rep,1957-01-03,1959-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,6,A000002-6,rep,1959-01-07,1961-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,7,A000002-7,rep,1961-01-03,1963-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,8,A000002-8,rep,1963-01-09,1965-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,9,A000002-9,rep,1965-01-04,1967-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,10,A000002-10,rep,1967-01-10,1969-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,11,A000002-11,rep,1969-01-03,1971-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000002,12,A000002-12,rep,1971-01-21,1973-01-03,VA,4,NULL,Democrat,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000003,0,A000003-0,rep,1817-12-01,1819-03-03,GA,-1,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000003,1,A000003-1,rep,1819-12-06,1821-03-03,GA,-1,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
A000003,2,A000003-2,rep,1821-12-03,1823-03-03,GA,-1,NULL,Republican,"Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given","Not Given"
